"param_molecule_key","obj_negative_singlet_triplet_gap","result_id","suggestion_id","created_at"
"NSFPKBSRRKTUCK-UHFFFAOYSA-N","-0.2267869324879579","3c828442-e7d8-4494-9961-e1bdc9d15cf1","674698f6-da30-4e44-a41e-608d2cc6e01f","2026-08-04T12:58:50.196511+00:00"
"TYRQLYOWVMBGNA-UHFFFAOYSA-N","-0.9227025687864565","43cb5ad5-756a-44bd-9843-36303d2b899e","d25c9384-53f8-412d-9dab-c97eb39d9ffb","2026-08-04T13:26:27.726569+00:00"
"HXWXPNZYXZHKRZ-UHFFFAOYSA-N","-0.43644881173920647","d6747e37-cbe5-4d64-824e-d7db11296fba","2d3b24fa-485c-4fba-8a63-7377e43f609f","2026-08-04T13:34:08.059996+00:00"
"ZAGUESFSZZNNGP-UHFFFAOYSA-N","-0.2720058556612108","76bb606e-a0ca-482d-973d-e806cb760f35","3acd2d14-40d7-4c86-bd2a-786b7e8c96df","2026-08-04T13:34:17.299754+00:00"
"UKMKRHRCQLZPGT-UHFFFAOYSA-N","-0.2867886443293266","0f76e636-97c8-4921-8721-26bbd778870d","b7acd08e-fc3c-4901-b95f-c41581193e4e","2026-08-04T13:41:43.430454+00:00"
"STACUZZGKSWALO-UHFFFAOYSA-N","-0.40246231574472247","217158a8-d9fc-49af-8143-73c9cfdc96ea","dc4e7272-13d1-4db9-946d-7e0ed899e5ab","2026-08-04T15:46:46.588225+00:00"
"BKUMJJLBFBDXGD-UHFFFAOYSA-N","-0.2814150454570883","fe81bfbe-a6ac-4446-9d5f-d70c1c56f5a5","2dfb2357-ce7c-4b04-a2b5-d9e39210091e","2026-08-04T15:47:04.879611+00:00"
"XFLQTXGZQAAHAI-UHFFFAOYSA-N","-0.24970158900007056","0dfe5b9b-9a3b-45f1-879c-207f3a83247d","6868462e-42bf-4e94-9853-689d73a27510","2026-08-04T15:56:08.684940+00:00"
"AMGVEBPJFUEWLX-UHFFFAOYSA-N","-0.2672513253286588","5fef7e66-2e44-47a0-b16f-3d55b600dc77","5e79c681-facc-4f8d-9da7-809286de69fc","2026-08-04T16:00:40.912455+00:00"
"OHQFVBCXZCGROC-UHFFFAOYSA-N","-0.3286848239330111","fe0ba296-35ce-475d-8605-68651e814b1d","f6148ee9-c665-4265-9fb4-47d9b10aa019","2026-08-04T16:08:52.152112+00:00"
"MDBVXVGLLQXSTQ-UHFFFAOYSA-N","-0.3085722867528591","ca39cc94-abcb-4947-834e-27187b3352ba","8fbc1964-c60b-4ac9-bca8-f84a0c7e2354","2026-08-04T16:13:23.198618+00:00"
"NNFSKHBTJWXTQJ-UHFFFAOYSA-N","-0.3081588927999259","7babe7cc-5456-4250-8f08-13657b2ed115","2ec62fd7-6037-439a-aeaf-c735237e7c4f","2026-08-04T16:27:24.586924+00:00"
"XGPVIOJANRNKMD-UHFFFAOYSA-N","-0.26319366285812096","110229f9-0c98-4909-bf91-a41beca32de1","0e0bae1e-f6d6-4a7e-8d49-f692a508a2fc","2026-08-04T16:28:37.908326+00:00"
"MLHIMDRRGDRXQW-UHFFFAOYSA-N","-0.22980388082616154","cc8ee00c-1885-4ba7-92d8-e3d46347e03b","4c9bbef4-2f11-49ca-a773-329b69e9c09a","2026-08-04T16:38:02.686725+00:00"
"YSKSYGZSFISTGH-UHFFFAOYSA-N","-0.2695549259628587","24858a6d-cf27-4987-9ae0-a3bc199985d8","1b91db01-0b05-4f34-bcb3-cd22ca6fd21f","2026-08-04T16:38:33.823706+00:00"
"YVDLTBKGQDBKQW-UHFFFAOYSA-N","-0.30663777189716224","8239b4c2-bd72-4f0f-935a-62955e6750d9","e713f0de-b459-48bf-93e0-5a96043d9fe4","2026-08-04T16:47:30.459691+00:00"
"NMHQWTLWOWSATB-UHFFFAOYSA-N","-0.2540564815030829","a161b2c3-23ea-4686-a25b-2d6a7f6099a5","e2f05252-0602-4fff-8c7c-569088610f6d","2026-08-04T16:50:09.208670+00:00"
"VQJCMFYAJLAEFQ-UHFFFAOYSA-N","-0.31529121702799046","8f479dcd-2968-41bd-8fed-9eedd6a0b101","81ae60c5-6934-41ed-8b67-aeafa1eae24e","2026-08-04T17:00:37.466117+00:00"
"SUVXEVRKTOAMPY-UHFFFAOYSA-N","-0.24655020809363393","933a4215-b054-46b4-9734-b62834551c5d","a6c8b8d2-3330-4095-9c43-11bc0edc41b1","2026-08-04T17:03:16.586809+00:00"
"KHANFGGITOYZMP-UHFFFAOYSA-N","-0.39830092486522073","7d45aa42-54b0-40fa-8e41-0cbcbb243a6a","72ac1aed-c936-4d7f-9a27-713b205322e4","2026-08-04T19:25:41.792274+00:00"
"GLMBSENYFBMIGV-UHFFFAOYSA-N","-0.6014349284900138","e1ecce4b-e1d7-470b-b99c-d8fa9b91e177","4122a730-9b9f-4122-8518-f0e5dcedaa10","2026-08-04T19:26:28.094699+00:00"
"VJWIGBOMOWNWSG-UHFFFAOYSA-N","-0.31129990152691067","2ae0a543-1054-4f3a-a762-f90575805280","4f503c3a-6df9-470a-8f59-21432c9bbf0e","2026-08-04T19:32:50.043605+00:00"
"FZUULLLJGCRDKO-UHFFFAOYSA-N","-0.2775297625100903","76bceb09-89d6-455c-80ad-02e9d97e6bba","903e5d61-15a2-49cc-98e8-31753271885c","2026-08-04T19:34:53.754292+00:00"
"KHIDMFKWCYMIAR-UHFFFAOYSA-N","-0.28087251127426205","8ddae03f-5326-4b51-a951-cfbe494075c4","06e63082-d7cb-420c-8248-132dbf4cc363","2026-08-04T19:40:49.769975+00:00"
"XFAKGSNBLLHIJS-UHFFFAOYSA-N","-0.24513378837077426","9ed3c823-2906-46aa-90fc-c3ce7f5aeec5","d4b9dd4c-9004-4bc6-874f-319c82c8e465","2026-08-04T19:43:41.340820+00:00"
"NMMLJSSHMNUPOJ-UHFFFAOYSA-N","-0.23717236741775594","dfd57378-8dff-43d3-85f9-7d887749c4fa","9d3eb150-c20c-4adc-a3ab-0281dab4b392","2026-08-04T19:50:10.528244+00:00"
"KWTVZDWFGBQDFU-UHFFFAOYSA-N","-0.2984468728362033","794e94b4-d89f-4e47-89f1-3d7f78ae28b6","107c537d-e572-436e-8cef-7c61e5386945","2026-08-04T19:53:54.067315+00:00"
"CGGKYQWGDWHWKT-UHFFFAOYSA-N","-0.23527368168221185","98b835de-b42d-4912-ad09-ea3a06f9e69d","6af114ee-30f6-4fad-b083-30aef2d84c09","2026-08-04T20:05:08.280626+00:00"
"UTFYSUKXYGQJCH-UHFFFAOYSA-N","-0.2609181052508225","214956e1-d037-4fb9-a1cf-f1995c18f76a","09bedaab-cf49-4e41-85d4-f95fc069d663","2026-08-04T20:05:19.455207+00:00"
"OSFMDCVCBCMQAU-UHFFFAOYSA-N","-0.4964414997573332","fd33d59a-f1fc-4466-be2e-6f26eaa919b7","0be4496e-0e19-4082-b8bc-86b10e783f19","2026-08-04T20:15:58.992572+00:00"
"RPTBODQPVWBDCE-UHFFFAOYSA-N","-0.26495562915110016","0b704c93-815c-43a4-834c-394420696b59","3f4ba750-ba98-4a9f-9f90-839295caae86","2026-08-04T20:19:59.473607+00:00"
"YAPKFDISPNDBAO-UHFFFAOYSA-N","-0.29489718731956516","baafe1a0-4347-4a88-8733-899c2fe8bf96","6dfb105e-c97e-4ddf-8fc9-11cf7c0f065d","2026-08-04T20:29:26.409952+00:00"
"KJHNXTWSXSOLOY-UHFFFAOYSA-N","-0.32066651836641946","5a87fb31-1c55-4d19-9b3f-94c42648dfca","fd4f29f6-ed61-4000-bb75-269a17ac6204","2026-08-04T20:30:13.616087+00:00"
"NFVAOZHVIPENHN-UHFFFAOYSA-N","-0.2821154941991999","9518b6c6-ca97-44a1-bc8a-02d41b725109","d6079acd-8faa-4233-b578-0cb8fc6857ff","2026-08-04T20:37:42.557536+00:00"
"MEAXUEXYUDPEPU-UHFFFAOYSA-N","-0.38346031286767035","116add24-48d5-44fe-a058-7df533d6299d","2ee8dda9-f0e2-4385-8b79-1a056b003b4a","2026-08-04T20:39:54.127832+00:00"
"RMSXYWWMTBMFED-UHFFFAOYSA-N","-0.2318829996721805","e71cc7d9-9398-48a9-8d11-4a6a59adf8e8","74d211ac-ecc2-4584-92f9-8bd44a3de7a9","2026-08-04T20:47:47.400228+00:00"
"WGKMZGAJDYWUCE-UHFFFAOYSA-N","-0.2232308199591746","fe1a34ce-ad13-46c8-8779-89cb9cb148e6","2a19c508-70d0-4e5f-8aec-30a77e27ec5e","2026-08-04T20:49:33.837426+00:00"
"QCWXRFCFKSVXNS-UHFFFAOYSA-N","-0.24156049809862945","a08400a1-addf-48fb-8ace-06d289956a1b","6fb859fa-4cf1-49fe-9591-5cd19ca987d6","2026-08-04T20:58:10.252233+00:00"
"VLSAKTJCRGDWDN-UHFFFAOYSA-N","-0.35160315945608334","d074df10-f463-46d1-9960-e9149c3b847c","eb7931f8-92e1-4ccd-b410-6d3ad04e1217","2026-08-04T21:15:20.837923+00:00"
